Name,Pronouns,Troupe,Height_cm,Element,Aspect,MBTI,MBTI_Family,IE,Role,Power,Control,Support,Speed,Drawback_Type,Cross_Troupe_Group,Positive_Traits,Negative_Traits,Signature_Ability,Drawback_Summary
Hiromi Masaki,she/her,1,175,Aether,Calm,INTJ,Analyst,I,Disruptor,72,95,30,55,Emotional,RUST PARADE,Logical / Systematic / Pioneering,Pedantic / Unfeeling / Prone-to-stagnation,Vector Lattice,Overcalculating drains emotional bandwidth — goes blank and loses intuition
Kamiko Handa,she/her,1,167,Light,Echo,ESFP,Explorer,E,Disruptor,60,70,45,80,Sensory,GLITCH GARDEN,Captivating / Engaging / Buoyant,Distractible / Shallow / Easily bored,Mirage Bloom,Illusions bleed into own perception — hard to distinguish reality
Mica Dwyer,she/they,1,168,Fire,Fury,ENTP,Analyst,E,Attacker,95,30,10,75,Emotional,NEON GRAVEYARD,Assertive / Compelling / Incisive,Temperamental / Egotistical / Combative,Crimson Overdrive,Emotions directly fuel flames — anger causes uncontrollable flare-ups
Miki Naoki,they/them,1,168,Water,Storm,ESTP,Explorer,E,Attacker,78,45,20,92,Physical,GLITCH GARDEN,Vigorous / Action-oriented / Adroit,Unpredictable / Crass / Self-serving,Riptide Dash,Body loses structure if pushed — starts dripping and must re-stabilize
Natsume Uemura,she/her,1,166,Nature,Soul,ESFP,Explorer,E,Support,50,55,82,48,Emotional,NEON GRAVEYARD,Authentic / Dazzling / Self-expressive,Capricious / Attention-hungry / Erratic,Heartvine Pulse,Powers expose emotional state in real time — panic amplifies vines
Hayami Amamiya,they/them,2,173,Lightning,Calm,ISTP,Explorer,I,Attacker,90,88,15,85,Emotional,GLITCH GARDEN,Pragmatic / Dexterous / Efficacious,Cynical / Belligerent / Distrustful,Stormskin,Emotional instability causes lightning to stop obeying and go wild
Hibiki Masami,she/her,2,167,Shadow,Silent,INFJ,Diplomat,I,Support,40,78,65,60,Sensory,VELVET CHAINSAW,Ideological / Rigorous / Conceptual,Mistrustful / Self-deprecating / Intellectualizing,Veilwalk,Overuse causes dissociation — senses dull and emotions flatten
Paula Lopez,she/her,2,171,Ice,Calm,INTP,Analyst,I,Disruptor,65,92,35,42,Physical,NEON GRAVEYARD,Cerebral / Penetrating / Foresighted,Condescending / Withdrawn / Ungregarious,Frostline,Long exposure slows heart rate and cognition — borders on emotionally frozen
Shaye Kaylen,they/them,2,171,Fire,Storm,ESTP,Explorer,E,Attacker,88,28,10,90,Physical,NEON GRAVEYARD,Forceful / Hardy / Unflappable,Short-tempered / Entitled / Irresponsible,Wildflare,Flames respond to impulse — completely unpredictable and hard to direct
Shizuka Aikawa,she/her,2,169,Aether,Forge,ESTJ,Sentinel,E,Tank,70,85,50,55,Emotional,STATIC CROWN,Authoritative / Tenacious / Dominant,Dictatorial / Intolerant / Bossy,Dominion Mantle,Ego cracks destabilize constructs violently — doubt is her weakness
Chiyo Funai,she/her,3,173,Metal,Forge,ISTJ,Sentinel,I,Tank,75,80,40,45,Emotional,GLITCH GARDEN,Punctual / Reliable / Thorough,Suppressive / Timid / Resentful,Ironbound Form,Emotional stress locks up armor — anxiety becomes physical restraints
Katie Olson,she/her,3,165,Air,Echo,INFP,Diplomat,I,Disruptor,45,72,58,65,Sensory,VELVET CHAINSAW,Principled / Earnest / Meticulous,Neurotic / Inhibited / Apprehensive,Whisper Spiral,Own thoughts echo back — intrusive thoughts amplify with overuse
Maia Park,she/her,3,167,Light,Bloom,ENFP,Diplomat,E,Attacker,80,55,48,78,Physical,ATOMIC LULLABY,Quick-witted / Clever / Entrepreneurial,Abrasive / Reckless / Inconsistent,Radiant Burst,Post-burst energy crash — physical sluggishness after big output
Maki Shigeno,she/her,3,168,Fire,Soul,ENFP,Diplomat,E,Attacker,82,48,35,70,Emotional,ATOMIC LULLABY,Compassionate / Spirited / Enthusiastic,Melodramatic / Self-interrupting / Inconstant,Emberheart Weave,Emotional instability directly mirrors flame behavior — panic scatters fire
Sonia Spade,she/her,3,166,Shadow,Echo,INFJ,Diplomat,I,Disruptor,50,68,55,52,Sensory,GHOST FOUNTAIN,Introspective / Perceptive / Original,Brooding / Incommunicative / Abstracted,Liminal Replica,Replicas pull fragments of thoughts — harder to stay grounded with overuse
Akane Kazumi,they/them,4,163,Fire,Storm,ENTP,Analyst,E,Attacker,92,22,12,95,Physical,ATOMIC LULLABY,Charismatic / Resilient / Adventurous,Impulsive / Undisciplined / Thrill-seeking,Flarebound Rush,Burns stamina fast — fire eats oxygen causing dizziness and hypoxia
Himari Kobayashi,she/her,4,163,Water,Soul,ISFP,Explorer,I,Support,55,50,80,60,Emotional,RUST PARADE,Generous / Fostering / Benevolent,Co-dependent / Mercurial / Emotionally draining,Luminous Tide,Emotional state leaks into water — overwhelm causes instability or refusal
Reiko Adachi,she/her,4,169,Ice,Silent,INTJ,Analyst,I,Disruptor,55,85,30,50,Sensory,STATIC CROWN,Dignified / Industrious / Scrupulous,Emotionally guarded / Status-focused / Self-punishing,Frostveil,Silence spreads into senses — overuse causes auditory fading then emotional numbness
Shiina Ishioka,she/her,4,165,Light,Crest,ISFP,Explorer,I,Support,20,65,95,35,Physical,GLITCH GARDEN,Selfless / Magnanimous / Nurturing,Boundaries-less / Submissive / Insecure,Halo Surge,Own defenses drop to zero when buffing — becomes the easiest target
Theresa Felix,she/they,4,167,Earth,Boundless,ESFP,Explorer,E,Tank,78,35,40,70,Physical,ATOMIC LULLABY,Spirited / Buoyant / Sensory-focused,Hedonistic / Overwhelmed / Escapist,Tremor Bloom,Can't stop once started — runaway feedback risks environment-damaging quakes
